"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB7","m = 0.00016 
 p = 0.06752","m = 0.00034 
 p = 0.11746","m = 0.00043 
 p = 0.13473","m = 0.00029 
 p = 0.08213","m = 0.00111 
 p = 0.30888","m = 0.00022 
 p = 0.04398","m = 0.00003 
 p = 0.09461","m = 0.00099 
 p = 0.24162","m = 0.00211 
 p = 0.92957","m = 0.00433 
 p = 1.37868","m = 0.05087 
 p = 10.39644","m = 0.00045 
 p = 0.05397"
"ITGB4","m = 0.00229 
 p = 0.81898","m = 0.00108 
 p = 0.35132","m = 0.00175 
 p = 0.48459","m = 0.02162 
 p = 5.40816","m = 0.07539 
 p = 17.37452","m = 0.00095 
 p = 0.19887","m = 0.01303 
 p = 4.54115","m = 0.17849 
 p = 30.32317","m = 0.00453 
 p = 1.74886","m = 0.00068 
 p = 0.20807","m = 0.00064 
 p = 0.14445","m = 0.00269 
 p = 0.43173"
"ITGB8","m = 0.00143 
 p = 0.46612","m = 0.00358 
 p = 1.22699","m = 0.03724 
 p = 8.25685","m = 0.00127 
 p = 0.28516","m = 0.03334 
 p = 7.10425","m = 0.00217 
 p = 0.42163","m = 0.13089 
 p = 28.19300","m = 0.42835 
 p = 54.13772","m = 0.02048 
 p = 7.05845","m = 0.01559 
 p = 3.19877","m = 0.00148 
 p = 0.29693","m = 0.05326 
 p = 7.60928"
"CACNA1D","m = 0.11930 
 p = 32.42360","m = 0.01585 
 p = 5.37780","m = 0.00862 
 p = 2.32371","m = 0.00275 
 p = 0.62963","m = 0.01656 
 p = 2.93436","m = 0.01011 
 p = 1.82708","m = 0.01314 
 p = 4.44655","m = 0.01554 
 p = 3.95651","m = 0.01333 
 p = 5.67197","m = 0.00822 
 p = 2.12927","m = 0.00292 
 p = 0.62595","m = 0.01573 
 p = 2.21263"
"ITGB6","m = 0.00360 
 p = 1.38965","m = 0.00496 
 p = 1.78753","m = 0.00055 
 p = 0.15863","m = 0.00016 
 p = 0.03498","m = 0.00066 
 p = 0.23166","m = 0.00032 
 p = 0.06501","m = 0.00126 
 p = 0.85147","m = 0.00012 
 p = 0.06040","m = 0.00103 
 p = 0.55144","m = 0.00039 
 p = 0.11667","m = 0.00028 
 p = 0.06019","m = 0.00000 
 p = 0.00000"
"CACNB2","m = 0.73669 
 p = 90.48376","m = 0.77634 
 p = 93.45865","m = 0.02819 
 p = 5.99978","m = 0.00791 
 p = 1.40299","m = 0.02553 
 p = 4.47876","m = 0.21849 
 p = 31.57764","m = 0.26899 
 p = 46.45222","m = 0.05457 
 p = 8.77378","m = 0.05668 
 p = 15.33008","m = 0.01414 
 p = 2.32567","m = 0.00609 
 p = 0.97103","m = 0.02720 
 p = 3.77766"
"SNTA1","m = 0.11418 
 p = 34.68885","m = 0.11250 
 p = 33.48173","m = 0.00973 
 p = 2.73514","m = 0.00295 
 p = 0.91631","m = 0.00385 
 p = 1.08108","m = 0.01082 
 p = 2.77648","m = 0.01083 
 p = 5.01419","m = 0.02179 
 p = 5.16460","m = 0.03892 
 p = 14.41626","m = 0.00351 
 p = 1.25617","m = 0.00469 
 p = 1.16764","m = 0.00546 
 p = 0.75553"
"CACNA1C","m = 0.91897 
 p = 93.00386","m = 0.99173 
 p = 96.78465","m = 0.14048 
 p = 24.20919","m = 0.04263 
 p = 6.54196","m = 0.04934 
 p = 10.03861","m = 0.52762 
 p = 63.73084","m = 0.12273 
 p = 23.27342","m = 0.08844 
 p = 12.88130","m = 0.07372 
 p = 16.81109","m = 0.02501 
 p = 3.28044","m = 0.00754 
 p = 1.05128","m = 0.02911 
 p = 4.15542"
"DAG1","m = 0.05290 
 p = 20.02352","m = 0.07527 
 p = 24.48430","m = 0.03474 
 p = 8.90225","m = 0.02287 
 p = 5.98761","m = 0.03861 
 p = 9.72973","m = 0.02451 
 p = 5.10168","m = 0.03119 
 p = 12.20435","m = 0.14347 
 p = 24.96225","m = 0.04798 
 p = 18.32362","m = 0.01903 
 p = 5.80446","m = 0.01086 
 p = 2.27109","m = 0.01274 
 p = 2.05073"
"DMD","m = 0.96635 
 p = 91.82767","m = 1.00000 
 p = 95.34686","m = 0.18197 
 p = 31.68013","m = 0.01818 
 p = 3.64169","m = 0.03807 
 p = 6.87259","m = 0.23133 
 p = 33.46687","m = 0.12514 
 p = 22.23273","m = 0.35478 
 p = 48.02175","m = 0.67167 
 p = 88.12037","m = 0.04025 
 p = 7.22008","m = 0.00835 
 p = 1.26796","m = 0.03923 
 p = 5.55855"
